Name,PoseNum,ZDock Score,ZRank Score,Cluster,ClusterCenter,ClusterSize,Density,E_vdw1,E_elec1,E_vdw2,E_elec2,E_sol,E_RDock,clash
Pose539,539,17.560,-27.545,2001,0,1,14.000,-100.729636,4.0681796,-107.675628,13.0042222,14.2,25.90379998,0
Pose1900,1900,19.640,77.340,11,0,24,21.000,554.121642,-4.81711424,-130.131682,-4.34993708,29.9,25.985056628,0
Pose1678,1678,18.660,40.338,99,0,6,13.000,-138.03658,-1.12061124,-131.961233,-11.0813724,36.0,26.02676484,0
Pose744,744,17.440,-17.394,2001,0,1,2.000,-124.413912,-2.83021214,-131.40707,10.1454479,16.9,26.03090311,0
Pose1807,1807,16.900,58.657,29,0,17,17.000,-126.321597,-8.34880615,-120.478811,8.27796836,18.6,26.050171524,0
Pose1200,1200,16.780,5.179,2001,0,1,6.000,-102.951541,2.410420141E-02,-103.614807,7.99974137,18.9,26.099767233,0
Pose1431,1431,17.540,20.086,43,0,13,5.000,-130.979955,-0.421918378,-131.130043,2.789973,23.6,26.1109757,0
Pose1798,1798,17.940,57.439,2001,0,1,4.000,-137.961729,1.4315896,-132.999247,8.12490472,18.8,26.112414248,0
Pose1466,1466,16.880,21.993,17,0,21,18.000,-122.780016,2.19689581,-113.494758,15.1557475,12.6,26.24017275,0
Pose1891,1891,16.840,75.904,2001,0,1,6.000,232.419278,-2.16553859,-118.85429,-10.9443553,36.1,26.25008023,0
Pose1339,1339,17.400,14.082,5,0,47,24.000,-97.008569,-0.977177076,-107.658878,-0.33748995,26.6,26.296259045,0
Pose1687,1687,18.740,40.942,83,0,7,7.000,-132.591632,-2.59548385,-129.227257,-7.66230286,33.3,26.403927426,0
Pose1643,1643,17.840,36.105,83,0,7,7.000,-99.4266078,-2.77938333,-135.204629,-4.50465866,30.5,26.445807206,0
Pose1091,1091,19.200,0.178,5,0,47,26.000,-120.290307,4.16435904,-120.220205,2.42566166,24.3,26.483095494,0
Pose1404,1404,17.640,18.388,43,0,13,5.000,-126.484956,-5.56713194,-125.06171,1.16216811,25.5,26.545951299,0
Pose1277,1277,17.040,9.167,2001,0,1,4.000,-111.474765,-0.427616509,-105.082853,6.81340798,20.5,26.632067182,0
Pose1600,1600,16.820,32.824,60,0,10,8.000,-133.886365,-7.24606084,-134.083154,-8.64771325,34.5,26.717058075,0
Pose1998,1998,17.560,144.485,86,0,7,7.000,694.869412,3.26080235,-79.9861332,-0.758664024,27.4,26.7172023784,0
Pose1961,1961,17.360,102.508,2001,0,1,4.000,438.937632,0.28880852,-81.7993893,-9.30288556,35.3,26.927402996,0
Pose1895,1895,16.980,76.651,11,0,24,19.000,113.829038,0.871812141,-128.18767,-1.49006867,28.3,26.958938197,0
Pose1371,1371,20.080,15.699,84,0,7,7.000,-138.598528,-2.40141436,-133.380553,5.87934911,21.7,26.991414199,0
Pose1668,1668,17.280,39.149,2001,0,1,1.000,-115.389756,-0.285398474,-143.445233,1.10406341,26.1,27.093657069,0
Pose1824,1824,18.420,61.141,53,0,11,10.000,25.2630118,1.74681411,-129.254392,5.35885506,22.3,27.122969554,0
Pose917,917,18.220,-8.833,30,0,17,12.000,-125.958103,5.22072693,-125.478254,14.4419774,14.2,27.19777966,0
Pose1878,1878,18.900,70.850,60,0,10,10.000,-70.8793998,-4.61151662,-138.971157,-9.57163402,35.9,27.285529382,0
Pose1877,1877,16.620,70.731,53,0,11,11.000,106.039109,5.25237818,-127.953519,-5.12608066,32.0,27.386527406,0
Pose1976,1976,17.160,113.686,29,0,17,14.000,-111.452936,-5.7260144,-141.539497,6.32073989,21.9,27.588665901,0
Pose1098,1098,16.640,0.476,2001,0,1,8.000,-112.467382,-1.50317202,-117.912393,-3.26003771,30.7,27.765966061,0
Pose1779,1779,17.540,54.549,28,0,18,16.000,-126.963446,-5.92002554,-119.508416,-3.98951164,31.5,27.909439524,0
Pose1501,1501,16.660,25.101,87,0,7,7.000,-123.334828,2.22538222,-127.438648,8.70570517,20.1,27.935134653,0
Pose1919,1919,18.180,83.017,2001,0,1,7.000,-111.950178,1.63058667,-128.609057,-4.5774696,32.2,28.08027736,0
Pose1660,1660,17.600,37.974,35,0,16,14.000,-23.8640452,-4.83938163,-126.450413,-5.80765139,33.4,28.173113749,0
Pose1772,1772,18.460,53.477,28,0,18,15.000,-114.306135,-0.42804921,-107.382167,4.09265077,24.5,28.183385693,0
Pose653,653,18.360,-21.444,83,0,7,6.000,-119.295729,-3.69010598,-120.032751,3.70231289,25.0,28.332081601,0
Pose1896,1896,16.580,76.717,29,0,17,9.000,-77.3528924,0.182252439,-108.65008,8.46938982,20.8,28.422450838,0
Pose1881,1881,17.200,72.186,2001,0,1,4.000,729.879997,5.39283523,-93.4293749,7.27366924,21.9,28.446302316,0
Pose1775,1775,17.080,53.741,45,0,12,12.000,-133.528833,-5.56114922,-127.07076,13.339278,16.6,28.6053502,0
Pose1944,1944,16.820,94.373,79,0,7,6.000,-104.642508,-2.89444416,-110.548969,11.2484833,18.6,28.72363497,0
